NEIGHBOURHOOD_NAME,year,count
SUNSET,2011,111
SUNSET,2010,92
SUNSET,2009,117
SUNSET,2008,291
SUNSET,2007,247
SUNSET,2006,254
SUNSET,2005,169
SUNSET,2004,111
SUNSET,2003,130
SUNSET,2002,311
SUNSET,2001,119
SUNSET,2000,228
SUNSET,1999,147
SUNSET,1998,255
SUNSET,1997,184
SUNSET,1996,134
SUNSET,1995,134
SUNSET,1994,170
SUNSET,1993,75
SUNSET,1992,35
SUNSET,1991,19
SUNSET,1990,15
SUNSET,1989,45
VICTORIA-FRASERVIEW,2017,3698
VICTORIA-FRASERVIEW,2013,68
VICTORIA-FRASERVIEW,2012,169
VICTORIA-FRASERVIEW,2011,155
VICTORIA-FRASERVIEW,2010,109
VICTORIA-FRASERVIEW,2009,195
VICTORIA-FRASERVIEW,2008,86
VICTORIA-FRASERVIEW,2007,59
VICTORIA-FRASERVIEW,2006,76
VICTORIA-FRASERVIEW,2005,187
VICTORIA-FRASERVIEW,2004,125
VICTORIA-FRASERVIEW,2003,183
VICTORIA-FRASERVIEW,2002,267
VICTORIA-FRASERVIEW,2001,205
VICTORIA-FRASERVIEW,2000,168
VICTORIA-FRASERVIEW,1999,140
VICTORIA-FRASERVIEW,1998,298
VICTORIA-FRASERVIEW,1997,103
VICTORIA-FRASERVIEW,1996,294
VICTORIA-FRASERVIEW,1995,103
VICTORIA-FRASERVIEW,1994,160
VICTORIA-FRASERVIEW,1993,53
VICTORIA-FRASERVIEW,1992,55
VICTORIA-FRASERVIEW,1990,35
VICTORIA-FRASERVIEW,1989,7
WEST END,2017,2092
WEST END,2013,22
WEST END,2012,68
WEST END,2011,30
WEST END,2010,6
WEST END,2009,56
WEST END,2008,25
WEST END,2007,21
WEST END,2006,80
WEST END,2005,41
WEST END,2004,25
WEST END,2003,26
WEST END,2002,46
WEST END,2001,33
WEST END,2000,10
WEST END,1999,88
WEST END,1998,45
WEST END,1997,21
WEST END,1996,40
WEST END,1995,10
WEST END,1994,28
WEST END,1993,71
WEST END,1992,20
WEST END,1990,16
WEST POINT GREY,2017,2665
WEST POINT GREY,2013,97
WEST POINT GREY,2012,106
WEST POINT GREY,2011,113
WEST POINT GREY,2010,54
WEST POINT GREY,2009,24
WEST POINT GREY,2008,55
WEST POINT GREY,2007,83
WEST POINT GREY,2006,113
WEST POINT GREY,2005,58
